stock,industry
Yahoo,Technology
Wells Fargo,Financial Services
Walmart,Retail
Volkswagen,Automotive
Vodafone,Technology
Visa,Financial Services
Viacom,Media
Verizon,Technology
UPS,Road Transport
TripAdvisor,Services
Toyota,Automotive
TMobile,Technology
Thales,Defense
Tesco,Retail
Starbucks,Food
Sony,Technology
Siemens,Technology
Shell,Energy
SAP,Technology
Santander,Banking
Samsung,Technology
salesforce.com,Technology
Ryanair,Aerospace
Reuters,Media
Pfizer,Healthcare/Pharmacutecial
Pepsi,Brewing
PayPal,Financial Services
P&G,Retail
Oracle,Technology
Nissan,Automotive
Nike,Retail
Next,Retail
Netflix,Media
Nestle,Food
Morgan Stanley,Financial Services
Microsoft,Technology
McDonald's,Food
Mastercard,Financial Services
L'Oreal,Retail
Kroger,Retail
Kellogg's,Food
JPMorgan,Financial Services
John Deere,Manufacturing
Intel,Technology
IBM,Technology
Hyundai,Automotive
HSBC,Financial Services
HP,Technology
Honda,Automotive
Home Depot,Retail
Heineken,Brewing
H&M,Retail
GSK,Healthcare/Pharmaceutical
Groupon,E-commerce
Google,Technology
Goldman Sachs,Financial Services
Gillette,Consumer
General Electric,Manufacturing
Ford,Automotive
FedEx,Road Transport
Facebook,Technology
Exxon,Energy
Expedia,Consumer
Equinor,Energy
eBay,E-commerce
easyJet,Aerospace
Disney,Media
Deutsche Bank,Financial Services
Danone,Food
CVS Health,Healthcare/Pharmaceutical
Costco,Retail
Comcast,Media
Colgate,Consumer
CocaCola,Food
Citigroup,Financial Services
Cisco,Technology
Chevron,Automotive
CBS,Media
Carrefour,Retail
Cardinal Health,Healthcare/Pharmaceutical
Burberry,Retail
BP,Energy
bookingcom,Technology
Boeing,Aerospace
BMW,Automotive
BlackRock,Financial Services
Bayer,Healthcare/Pharmaceutical
BASF,Energy
Bank of America,Financial Services
Aviva,Financial Services
Audi,Automotive
AT&T,Technology
AstraZeneca,AstraZeneca
ASOS,Retail
Apple,Technology
American Express,Financial Services
Amazon,E-commerce
Allianz,Financial Services
Adobe,Technology
adidas,Retail
21CF,Media